RECORRIDO DE CIERRES DE 2 EN 2  -  todas las velas, de inicio a fin
========================================================================================
fuente: spy_velas.db   dias: 2026-08-11, 2026-08-12, 2026-08-13

delta      = close[i] - close[i-1]   (el diferencial de cada par)
recorrido  = suma acumulada de |delta|  -> lo que el precio ANDUVO desde la apertura
neto       = close[i] - close[apertura] -> lo que el precio AVANZO desde la apertura

########################################################################################
# 1) PARES DESLIZANTES: cada vela contra la anterior
########################################################################################

=== 2026-08-11 ===   390 velas
  hora     open    close    delta  color  recorrido     neto
 11:06   771.86   772.18    +0.33  VERDE      16.43    -1.69
 11:07   772.20   772.12    -0.06   ROJA      16.49    -1.75
 11:08   772.11   772.09    -0.03   ROJA      16.52    -1.78
 11:09   772.06   772.09    +0.00  VERDE      16.52    -1.78
 11:10   772.12   771.87    -0.22   ROJA      16.74    -2.00
 11:11   771.89   771.97    +0.10  VERDE      16.84    -1.90
 11:12   771.97   772.31    +0.34  VERDE      17.18    -1.56
 11:13   772.32   772.26    -0.05   ROJA      17.23    -1.61
 11:14   772.25   772.17    -0.09   ROJA      17.32    -1.70
 11:15   772.13   772.08    -0.09   ROJA      17.41    -1.79
 11:16   772.10   772.21    +0.13  VERDE      17.54    -1.66
 11:17   772.21   772.26    +0.05  VERDE      17.59    -1.61
 11:18   772.28   772.01    -0.25   ROJA      17.84    -1.86
 11:19   771.99   772.10    +0.09  VERDE      17.93    -1.77
 11:20   772.12   772.06    -0.04   ROJA      17.97    -1.81
 11:21   772.05   772.11    +0.05  VERDE      18.02    -1.76
 11:22   772.11   771.89    -0.22   ROJA      18.24    -1.98
 11:23   771.89   771.89    +0.00   DOJI      18.24    -1.98
 11:24   771.89   771.91    +0.02  VERDE      18.26    -1.96
 11:25   771.89   771.94    +0.03  VERDE      18.29    -1.93
 11:26   771.93   771.98    +0.04  VERDE      18.33    -1.89
 11:27   771.99   771.96    -0.02   ROJA      18.35    -1.91
 11:28   771.99   772.15    +0.19  VERDE      18.54    -1.72
 11:29   772.15   772.37    +0.22  VERDE      18.76    -1.50
 11:30   772.40   772.33    -0.04   ROJA      18.80    -1.54
 11:31   772.31   772.15    -0.18   ROJA      18.98    -1.72
 11:32   772.17   772.00    -0.15   ROJA      19.13    -1.87
 11:33   772.01   771.77    -0.23   ROJA      19.36    -2.10
 11:34   771.77   771.90    +0.13  VERDE      19.49    -1.97
 11:35   771.89   771.93    +0.03  VERDE      19.52    -1.94
 11:36   771.91   772.13    +0.20  VERDE      19.72    -1.74
 11:37   772.14   771.95    -0.18   ROJA      19.90    -1.92
 11:38   771.97   771.97    +0.02   DOJI      19.92    -1.90
 11:39   771.97   771.69    -0.28   ROJA      20.20    -2.18
 11:40   771.67   771.59    -0.10   ROJA      20.30    -2.28
 11:41   771.58   771.84    +0.25  VERDE      20.55    -2.03
 11:42   771.85   771.80    -0.04   ROJA      20.59    -2.07
 11:43   771.80   771.92    +0.12  VERDE      20.71    -1.95
 11:44   771.91   771.80    -0.12   ROJA      20.83    -2.07
 11:45   771.80   771.85    +0.05  VERDE      20.88    -2.02
 11:46   771.84   771.90    +0.05  VERDE      20.93    -1.97
 11:47   771.90   772.05    +0.15  VERDE      21.08    -1.82
 11:48   772.04   771.88    -0.17   ROJA      21.25    -1.99
 11:49   771.87   772.17    +0.29  VERDE      21.54    -1.70
 11:50   772.19   771.89    -0.28   ROJA      21.82    -1.98
 11:51   771.89   771.90    +0.01  VERDE      21.83    -1.97
 11:52   771.90   772.01    +0.11  VERDE      21.94    -1.86
 11:53   772.01   772.09    +0.08  VERDE      22.02    -1.78
 11:54   772.09   771.98    -0.11   ROJA      22.13    -1.89
 11:55   771.94   771.88    -0.10   ROJA      22.23    -1.99
 11:56   771.87   771.96    +0.08  VERDE      22.31    -1.91
 11:57   771.98   772.01    +0.05  VERDE      22.36    -1.86
 11:58   772.00   772.00    -0.01   DOJI      22.37    -1.87
 11:59   771.97   772.03    +0.03  VERDE      22.40    -1.84
 12:00   772.02   772.28    +0.25  VERDE      22.65    -1.59
 12:01   772.30   772.37    +0.09  VERDE      22.74    -1.50
 12:02   772.37   772.34    -0.03   ROJA      22.77    -1.53
 12:03   772.35   772.22    -0.12   ROJA      22.89    -1.65
 12:04   772.22   772.22    +0.00   DOJI      22.89    -1.65
 12:05   772.22   772.27    +0.05  VERDE      22.94    -1.60
 12:06   772.27   772.13    -0.14   ROJA      23.08    -1.74
 12:07   772.14   772.04    -0.09   ROJA      23.17    -1.83
 12:08   772.04   772.25    +0.21  VERDE      23.38    -1.62
 12:09   772.25   772.35    +0.10  VERDE      23.48    -1.52
 12:10   772.37   772.29    -0.06   ROJA      23.54    -1.58
 12:11   772.30   772.44    +0.15  VERDE      23.69    -1.43
 12:12   772.43   772.39    -0.05   ROJA      23.74    -1.48
 12:13   772.39   772.52    +0.13  VERDE      23.87    -1.35
 12:14   772.52   772.52    +0.00   DOJI      23.87    -1.35
 12:15   772.53   772.52    +0.00   ROJA      23.87    -1.35
 12:16   772.51   772.53    +0.01  VERDE      23.88    -1.34
 12:17   772.54   772.51    -0.02   ROJA      23.90    -1.36
 12:18   772.51   772.50    -0.01   ROJA      23.91    -1.37
 12:19   772.48   772.43    -0.07   ROJA      23.98    -1.44
 12:20   772.44   772.37    -0.06   ROJA      24.04    -1.50
 12:21   772.37   772.47    +0.10  VERDE      24.14    -1.40
 12:22   772.46   772.60    +0.13  VERDE      24.27    -1.27
 12:23   772.60   772.55    -0.05   ROJA      24.32    -1.32
 12:24   772.57   772.57    +0.02   DOJI      24.34    -1.30
 12:25   772.58   772.64    +0.07  VERDE      24.41    -1.23
 12:26   772.64   772.51    -0.13   ROJA      24.54    -1.36
 12:27   772.50   772.47    -0.04   ROJA      24.58    -1.40
 12:28   772.48   772.45    -0.02   ROJA      24.60    -1.42
 12:29   772.45   772.45    +0.00   DOJI      24.60    -1.42
 12:30   772.45   772.47    +0.02  VERDE      24.62    -1.40
 12:31   772.48   772.29    -0.18   ROJA      24.80    -1.58
 12:32   772.28   772.40    +0.11  VERDE      24.91    -1.47
 12:33   772.41   772.32    -0.08   ROJA      24.99    -1.55
 12:34   772.34   772.20    -0.12   ROJA      25.11    -1.67
 12:35   772.20   772.27    +0.07  VERDE      25.18    -1.60
 12:36   772.26   772.31    +0.04  VERDE      25.22    -1.56
 12:37   772.31   772.60    +0.29  VERDE      25.51    -1.27
 12:38   772.59   772.61    +0.01  VERDE      25.52    -1.26
 12:39   772.61   772.76    +0.15  VERDE      25.67    -1.11
 12:40   772.76   772.78    +0.02  VERDE      25.69    -1.09
 12:41   772.79   772.80    +0.02  VERDE      25.71    -1.07
 12:42   772.79   772.79    -0.01   DOJI      25.72    -1.08
 12:43   772.79   772.72    -0.07   ROJA      25.79    -1.15
 12:44   772.72   772.74    +0.02  VERDE      25.81    -1.13
 12:45   772.76   772.64    -0.10   ROJA      25.91    -1.23
 12:46   772.64   772.66    +0.02  VERDE      25.93    -1.21
 12:47   772.64   772.66    +0.00  VERDE      25.93    -1.21
 12:48   772.66   772.78    +0.12  VERDE      26.05    -1.09
 12:49   772.78   772.85    +0.07  VERDE      26.12    -1.02
 12:50   772.85   773.08    +0.23  VERDE      26.35    -0.79
 12:51   773.07   773.10    +0.02  VERDE      26.37    -0.77
 12:52   773.10   773.19    +0.09  VERDE      26.46    -0.68
 12:53   773.19   773.14    -0.05   ROJA      26.51    -0.73
 12:54   773.13   773.07    -0.07   ROJA      26.58    -0.80
 12:55   773.06   772.98    -0.09   ROJA      26.67    -0.89
 12:56   772.98   772.99    +0.01  VERDE      26.68    -0.88
