PREMIUM POR MINUTO vs PRECIO DEL SPY  —  2026-08-11  —  expiry 0DTE 20260811
Rejilla completa 09:30 -> 16:13 = 404 minutos | con dato 373 | sin dato 31
B = ese minuto incluye la banda (3 min de golpe).  Vacio = sin lectura ese minuto.
Importes en DOLARES, premium BRUTO (no distingue comprador de vendedor).

┌──────────┬─────┬────────────────┬────────────────┬────────────────┬───────────┬────────┬────────┬─────────┬──────────┬────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┐
│   MINUTO │   B │           CALL │            PUT │          C - P │       SPY │    RSI │  SCORE │     DIR │    MACDh │   ATR% │     VWAP │      OBV │     EMA8 │    EMA21 │    EMA50 │    SMA20 │    SMA50 │   SMA200 │
│    11:12 │     │         194539 │         286204 │         -91665 │    772.83 │   18.6 │      0 │ NEUTRAL │   -0.083 │   0.03 │   772.81 │  bearish │   772.96 │   773.26 │   773.43 │   773.38 │   773.52 │   773.22 │
│    11:13 │   B │        2035147 │        2013505 │         +21642 │    772.61 │   17.0 │     -2 │    BEAR │   -0.083 │   0.03 │   772.77 │  bearish │   772.89 │   773.20 │   773.40 │   773.33 │   773.50 │   773.22 │
│    11:14 │     │         111392 │         223173 │        -111781 │    772.66 │   11.8 │     -2 │    BEAR │   -0.074 │   0.03 │   772.74 │  bearish │   772.84 │   773.15 │   773.37 │   773.27 │   773.49 │   773.22 │
│    11:15 │     │          99883 │         404593 │        -304710 │    772.64 │    9.8 │     -2 │    BEAR │   -0.064 │   0.03 │   772.70 │  bearish │   772.79 │   773.10 │   773.34 │   773.21 │   773.47 │   773.22 │
│    11:16 │   B │        1519301 │        2042910 │        -523609 │    772.53 │   10.9 │     -2 │    BEAR │   -0.060 │   0.03 │   772.68 │  bearish │   772.73 │   773.05 │   773.31 │   773.15 │   773.45 │   773.22 │
│    11:17 │     │         127480 │         374485 │        -247005 │    772.49 │   10.9 │     -2 │    BEAR │   -0.054 │   0.03 │   772.62 │  bearish │   772.68 │   773.00 │   773.28 │   773.09 │   773.43 │   773.22 │
│    11:18 │     │         366337 │         570215 │        -203878 │    772.22 │    8.4 │     -2 │    BEAR │   -0.063 │   0.03 │   772.54 │  bearish │   772.58 │   772.93 │   773.23 │   773.02 │   773.40 │   773.22 │
│    11:19 │   B │        2505511 │        3176132 │        -670621 │    772.45 │   23.2 │     -4 │    BEAR │   -0.048 │   0.03 │   772.48 │  bearish │   772.55 │   772.89 │   773.20 │   772.96 │   773.37 │   773.22 │
│    11:20 │     │         846945 │         179278 │        +667667 │    772.54 │   30.8 │     -3 │    BEAR │   -0.029 │   0.03 │   772.46 │  bearish │   772.55 │   772.85 │   773.18 │   772.90 │   773.35 │   773.22 │
│    11:21 │     │         284685 │         357379 │         -72694 │    772.78 │   41.8 │      0 │ NEUTRAL │    0.003 │   0.03 │   772.49 │  bearish │   772.60 │   772.85 │   773.16 │   772.85 │   773.33 │   773.22 │
│    11:22 │   B │        2629535 │        1644009 │        +985526 │    772.75 │   45.7 │     -1 │    BEAR │    0.023 │   0.03 │   772.53 │  bearish │   772.63 │   772.84 │   773.15 │   772.81 │   773.32 │   773.22 │
│    11:23 │     │          85467 │         189914 │        -104447 │    772.64 │   44.5 │      0 │ NEUTRAL │    0.030 │   0.03 │   772.60 │  bearish │   772.63 │   772.82 │   773.13 │   772.77 │   773.30 │   773.22 │
│    11:24 │     │         297433 │         275250 │         +22183 │    772.51 │   41.3 │     -2 │    BEAR │    0.027 │   0.03 │   772.64 │  bearish │   772.61 │   772.79 │   773.10 │   772.72 │   773.27 │   773.22 │
│    11:25 │   B │        1147060 │        1527106 │        -380046 │    772.62 │   46.2 │     -3 │    BEAR │    0.033 │   0.03 │   772.65 │  bearish │   772.61 │   772.78 │   773.08 │   772.68 │   773.25 │   773.22 │
│    11:26 │     │         122510 │         103840 │         +18670 │    772.62 │   43.6 │     -2 │    BEAR │    0.037 │   0.03 │   772.63 │  bearish │   772.61 │   772.76 │   773.07 │   772.66 │   773.23 │   773.22 │
│    11:27 │     │         112445 │         117690 │          -5245 │    772.46 │   45.3 │     -3 │    BEAR │    0.029 │   0.02 │   772.58 │  bearish │   772.58 │   772.73 │   773.04 │   772.63 │   773.21 │   773.22 │
│    11:28 │   B │         880287 │        1119705 │        -239418 │    772.42 │   42.4 │     -2 │    BEAR │    0.022 │   0.02 │   772.54 │  bearish │   772.54 │   772.71 │   773.02 │   772.61 │   773.19 │   773.22 │
│    11:29 │     │          73230 │         102484 │         -29254 │    772.40 │   42.4 │     -2 │    BEAR │    0.018 │   0.02 │   772.52 │  bearish │   772.51 │   772.68 │   772.99 │   772.59 │   773.17 │   773.22 │
│    11:30 │     │          82835 │          96750 │         -13915 │    772.51 │   49.4 │     -1 │    BEAR │    0.023 │   0.02 │   772.50 │  bearish │   772.51 │   772.66 │   772.97 │   772.57 │   773.15 │   773.22 │
│    11:31 │   B │         728027 │        1136748 │        -408721 │    772.36 │   46.2 │     -1 │    BEAR │    0.017 │   0.02 │   772.46 │  bearish │   772.48 │   772.64 │   772.95 │   772.55 │   773.13 │   773.22 │
│    11:32 │     │         199833 │         287107 │         -87274 │    772.46 │   57.9 │     -2 │    BEAR │    0.021 │   0.02 │   772.44 │  bearish │   772.47 │   772.62 │   772.93 │   772.53 │   773.11 │   773.22 │
│    11:33 │     │         161459 │         130685 │         +30774 │    772.37 │   47.1 │     -3 │    BEAR │    0.018 │   0.02 │   772.43 │  bearish │   772.45 │   772.60 │   772.91 │   772.52 │   773.09 │   773.21 │
